媚魔|Succubus
大叔受|Older Man Top
帝王攻|Arrogant Top
老子|Arrogant
女教師|Female Teacher
吊帶襪|Garter
擬人化|Anthropomorphism
義母|Motherinlaw
義妹|Younger Stepsister
浴衣/和服|Kimono/Japanese Clothes
辣妹|Gyaru
教師|Teacher
冷面受|Cool Bottom
高冷攻|Cool Top
襪子|Socks
藝人/偶像/模特兒|Entertainer/Idol/Model
健氣受|Diligent Bottom
野獸/獸化|Kemono/Animalization/Transfur
Cosplay|Cosplay
哥特蘿莉|Gothic Lolita
魅魔|Succubus/Incubus
誘受|Enthusiastic Bottom
上班族|Office Worker
修女|Sister/Nun
內衣|Underwear
管家/執事|Butler
親姊姊|Real Elder Sister
姐妹|Sisters
社長|Company President
熟女|Mature Woman/MILF
主從|Master and Servant
女醫生|Female Doctor
女王/公主|Queen/Princess
上司|Boss
少女|Girl
少年|Boy
女裝|Crossdressing as a Woman
正太|Shota
人外娘/魔物娘|Nonhuman/Monster Girl
西裝|Suit
死庫水|School Swimwear
絲襪|Stockings
運動短褲|Leggings
青年|Middleaged Man
制服|Uniform
水手服|Sailorstyle Uniform
前輩/後輩|Junior/Senior (at work school etc)
總受|Always Bottom
總攻|Always Top
體育社團系/運動選手|Sporty/Athlete
體操服|PE Uniform
父親|Father
強氣受|Power Bottom
強氣攻|Strong Willed Top
傲嬌|Tsundere
天使/惡魔|Angel/Demon
天然|Ditzy
同學/同事|Classmate/Colleague
年長|Senior
年下攻|Younger Top
護士|Nurse
過膝襪|Knee Socks
第三性|Shemale
異性戀|Heterosexual/Nonke
雙性戀|Bisexual
兔女郎|Bunny Girl
母親|Mother
內褲|Pants
婊子|Bitch/Slut
人妻|Married Woman
雙胞胎|Twins
娃娃臉|Chubby/Fat
不良/混混|Delinquent/Hoodlum
運動短褲|Bloomers/Buruma
廢柴攻|Weak Willed Top
變身女主角|Transforming Girl
男性自稱少女/僕娘|Boyish Girl
保健護士|Health doctor
牛郎|Host
拘束服|Bondage
魔法師/魔女|Magician / Witch
巫女|Shrine Maiden
泳裝|Swimwear
迷你裙|Short Skirt
寡婦|Widow
女兒|Daughter
女僕|Maid
眼鏡|Glasses
流氓/黑社會|Crime/Gangster
婊男/花花公子|Slutty man/Playboy
不良受|Mischievous Bottom
病嬌|Yandere
幽靈|Ghost
妖怪|Youkai
緊身皮衣|Rubber
緊身衣|Leotard
摔角手/格鬥家|Wrestler/Fighter
機器人|Robot/Android
蘿莉|Loli
天使之翼|angel wings
天使|angel
天使節拍！|angel beats!
銀河天使|galaxy angel
天使與魔鬼|angel and devil
yui（天使節拍！）|yui (angel beats!)
天使 (kof)|angel (kof)
尾羽之六翼天使|owari no seraph
摔跤天使|wrestle angels
六翼天使|seraph
天使獸|angewomon
摔跤天使倖存者|wrestle angels survivor
銀河天使符文|galaxy angel rune
irisviel von einzbern（天使之歌）|irisviel von einzbern (angel's song)
墮落天使|fallen angel
天使神聖|anceril sacred
天使 mort|angel mort
flonne（墮落天使）|flonne (fallen angel)
尤薩（天使節拍！）|yusa (angel beats!)
戰鬥天使阿麗塔|battle angel alita
椎名（天使節拍！）|shiina (angel beats!)
天使（新世紀福音戰士）|angel (evangelion)
久子（天使節拍！）|hisako (angel beats!)
雙天使|twin angel
野田（天使節拍！）|noda (angel beats!)
摔跤天使倖存者 2|wrestle angels survivor 2
交叉天使|cross ange
天使惡魔（電鋸人）|angel devil (chainsaw man)
怪盜天師雙子天使|kaitou tenshi twin angel
ooyama（天使節拍！）|ooyama (angel beats!)
天使塵|angeldust
擊敗天使 escalayer|beat angel escalayer
藤卷（天使節拍！）|fujimaki (angel beats!)
小天使|cherubi
天使天使|angelic angel
傳統知識（天使節拍！）|tk (angel beats!)
天使31424|angel31424
代號：戰天使（elsword）|code: battle seraph (elsword)
夜天使（最後的起源）|night angel (last origin)
天使染色體 xx|angel chromosome xx
天使加布裡埃爾.|angel gabriel.
治癒天使|cure ange
天使之刃|angel blade
藍色天使|blue angel
安德魯（決鬥天使）|andrew (duel angel)
蝙蝠翅膀|bat wings
黑色的翅膀|black wings
白色的翅膀|white wings
仙女翅膀|fairy wings
不對稱的翅膀|asymmetrical wings
分離的翅膀|detached wings
蝴蝶翅膀|butterfly wings
藍色的翅膀|blue wings
迷你翅膀|mini wings
帶翅膀的武器|winged arms
紫色翅膀|purple wings
張開翅膀|spread wings
五彩的翅膀|multicolored wings
沒有翅膀|no wings
昆蟲翅膀|insect wings
黃色翅膀|yellow wings
大翅膀|large wings
假翅膀|fake wings
粉紅色的翅膀|pink wings
透明翅膀|transparent wings
棕色翅膀|brown wings
火熱的翅膀|fiery wings
灰色的翅膀|grey wings
撕裂的翅膀|torn wings
漸變翅膀|gradient wings
飛馬翅膀|pegasus wings
橙色翅膀|orange wings
繪製的翅膀|drawn wings
不匹配的翅膀|mismatched wings
有翅膀的獨角獸|winged unicorn
骨骼翅膀|skeletal wings
騎士|Knight
未來主義騎士|Futuristic Knight
中世紀騎士|Medieval Knight
半人半機器的生物|Cyborg
損壞的賽柏格|Damaged Cyborg
機器人|Robot
損壞的機器人|Damaged Robot
未來主義戰士|Futuristic Soldier
阿兵哥|Soldier
美麗的女士|Beautiful lady
女士|Lady
喬治年輕女子|Georgeous young woman
男子氣概|Masculine man
留鬍子的男人|Bearded man
亞馬遜|Amazon
巫師|Sorceress
女巫|Witch
女祭司|Priestess
野蠻人|Barbarian
惡魔獵人|Demon hunter
亡靈巫師|Necromancer
男巫|Wizard
外星人|Alien
怪物|Monster
公主|Princess
動物|Animal
猫|Cat
狗|Dog
狐|Fox
蒸汽朋克機器人|Steampunk Robot
科學家|Scientist
鬼|Ghost
魔鬼|Demon
技術員|Technician
汽車|Car
自行車|Bicycle
機車|Motorbike
樹|Tree
死|Death
生活|Life
類人|Humanoid
龍|Dragon
牛頭怪|Minotaur
魔像|Golem
吸血鬼|Vampire
機器|Machine
生物|Creature
Shiba因紐特人|Shiba Inu
元素|Elemental
冰凍怪物|Frozen monster
火怪|Fire monster
恐龍|Dinosaur
骨骼|Skeleton
賞金獵人|Bounty hunter
海盜|Pirate
官員|Officer
太空人|Astronaut
機械|Mech
戰鬥機器人|Battle robot
可愛的機器人|Cute robot
